13H1,13M1,13N1,13S1 - USSF,14F1,14N1 - USAF,14N1 - USSF,15A1,15W1,17D1 - USAF,17D1 - USSF,19Z1A,19Z1B,19Z1C,21A1,21M1,21R1,31P1,32E1A,32E1C,32E1E,32E1F,32E1G,32E1J,35P1,38F1,61C1,61D1,62E1A - USAF,62E1A - USSF,62E1B - USAF,62E1B - USSF,62E1C - USAF,62E1C - USSF,62E1E - USAF,62E1E - USSF,62E1G - USAF,62E1G - USSF,62E1H - USAF,62E1H - USSF,62E1I - USAF,62E1I - USSF,63A1 - USAF,63A1 - USSF,64P1,65F1,71S1,92T0,92T0E,92T0H,92T1,92T2,92T3
,,,,,,,,,,,,,,NELLIS,,MILDENHALL,,MCCONNELL,MCCONNELL,MCCONNELL,MCCONNELL,MCCONNELL,MCCONNELL,PATRICK,MAXWELL-GUNTER,,,,,,,,,,,,,,,,,,,LAKENHEATH,KADENA,,,,,,,
,,,,,,,,,,,,,,OFFUTT,,MINOT,,MILDENHALL,MILDENHALL,MILDENHALL,MILDENHALL,MILDENHALL,MILDENHALL,PETERSON,MCCONNELL,,,,,,,,,,,,,,,,,,,LAUGHLIN,KEESLER,,,,,,,
,,,,,,,,,,,,,,OSAN,,MISAWA,,MINOT,MINOT,MINOT,MINOT,MINOT,MINOT,SCHRIEVER,MILDENHALL,,,,,,,,,,,,,,,,,,,LITTLE ROCK,KIRTLAND,,,,,,,
,,,,,,,,,,,,,,RAMSTEIN,,MOODY,,MISAWA,MISAWA,MISAWA,MISAWA,MISAWA,MISAWA,SHAW,MINOT,,,,,,,,,,,,,,,,,,,LOS ANGELES,LAKENHEATH,,,,,,,
,,,,,,,,,,,,,,SEYMOUR JOHNSON,,MOUNTAIN HOME,,MOODY,MOODY,MOODY,MOODY,MOODY,MOODY,SHEPPARD,MOODY,,,,,,,,,,,,,,,,,,,LUKE,LAUGHLIN,,,,,,,
,,,,,,,,,,,,,,SHAW,,NELLIS,,MOUNTAIN HOME,MOUNTAIN HOME,MOUNTAIN HOME,MOUNTAIN HOME,MOUNTAIN HOME,MOUNTAIN HOME,TINKER,MOUNTAIN HOME,,,,,,,,,,,,,,,,,,,MACDILL,LITTLE ROCK,,,,,,,
,,,,,,,,,,,,,,SPANGDAHLEM,,OFFUTT,,NELLIS,NELLIS,NELLIS,NELLIS,NELLIS,NELLIS,TRAVIS,NELLIS,,,,,,,,,,,,,,,,,,,MALMSTROM,LOS ANGELES,,,,,,,
,,,,,,,,,,,,,,TINKER,,PETERSON,,PATRICK,PATRICK,PATRICK,PATRICK,PATRICK,PATRICK,VANCE,OFFUTT,,,,,,,,,,,,,,,,,,,MAXWELL-GUNTER,LUKE,,,,,,,
,,,,,,,,,,,,,,TRAVIS,,POPE,,PETERSON,PETERSON,PETERSON,PETERSON,PETERSON,PETERSON,VANDENBERG,POPE,,,,,,,,,,,,,,,,,,,MCCONNELL,MACDILL,,,,,,,
,,,,,,,,,,,,,,TYNDALL,,RAMSTEIN,,RAMSTEIN,RAMSTEIN,RAMSTEIN,RAMSTEIN,RAMSTEIN,RAMSTEIN,WHITEMAN,RAMSTEIN,,,,,,,,,,,,,,,,,,,MINOT,MALMSTROM,,,,,,,
,,,,,,,,,,,,,,WHITEMAN,,ROBINS ,,SCHRIEVER,SCHRIEVER,SCHRIEVER,SCHRIEVER,SCHRIEVER,SCHRIEVER,,ROBINS,,,,,,,,,,,,,,,,,,,MISAWA,MAXWELL-GUNTER,,,,,,,
,,,,,,,,,,,,,,YOKOTA,,SCOTT,,SCOTT,SCOTT,SCOTT,SCOTT,SCOTT,SCOTT,,SEYMOUR JOHNSON,,,,,,,,,,,,,,,,,,,MOODY,MCCONNELL,,,,,,,
,,,,,,,,,,,,,,,,SEYMOUR JOHNSON,,SEYMOUR JOHNSON,SEYMOUR JOHNSON,SEYMOUR JOHNSON,SEYMOUR JOHNSON,SEYMOUR JOHNSON,SEYMOUR JOHNSON,,SHAW,,,,,,,,,,,,,,,,,,,MOUNTAIN HOME,MILDENHALL,,,,,,,
,,,,,,,,,,,,,,,,SHAW,,SHAW,SHAW,SHAW,SHAW,SHAW,SHAW,,SHEPPARD,,,,,,,,,,,,,,,,,,,NELLIS,MINOT,,,,,,,
,,,,,,,,,,,,,,,,SPANGDAHLEM,,SPANGDAHLEM,SPANGDAHLEM,SPANGDAHLEM,SPANGDAHLEM,SPANGDAHLEM,SPANGDAHLEM,,TINKER,,,,,,,,,,,,,,,,,,,OFFUTT,MISAWA,,,,,,,
,,,,,,,,,,,,,,,,TRAVIS,,TRAVIS,TRAVIS,TRAVIS,TRAVIS,TRAVIS,TRAVIS,,TRAVIS,,,,,,,,,,,,,,,,,,,PATRICK,MOODY,,,,,,,
,,,,,,,,,,,,,,,,TYNDALL,,TYNDALL,TYNDALL,TYNDALL,TYNDALL,TYNDALL,TYNDALL,,VANDENBERG,,,,,,,,,,,,,,,,,,,PETERSON,MOUNTAIN HOME,,,,,,,
,,,,,,,,,,,,,,,,WHITEMAN,,VANDENBERG,VANDENBERG,VANDENBERG,VANDENBERG,VANDENBERG,VANDENBERG,,WHITEMAN,,,,,,,,,,,,,,,,,,,RAMSTEIN,NELLIS,,,,,,,
,,,,,,,,,,,,,,,,YOKOTA,,WHITEMAN,WHITEMAN,WHITEMAN,WHITEMAN,WHITEMAN,WHITEMAN,,WRIGHT PATTERSON,,,,,,,,,,,,,,,,,,,ROBINS,OFFUTT,,,,,,,
,,,,,,,,,,,,,,,,,,YOKOTA,YOKOTA,YOKOTA,YOKOTA,YOKOTA,YOKOTA,,YOKOTA,,,,,,,,,,,,,,,,,,,SCHRIEVER,OSAN,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCOTT,PATRICK,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEYMOUR JOHNSON,PETERSON,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHAW,POPE,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHEPPARD,RAMSTEIN,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPANGDAHLEM,ROBINS,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TINKER,SCOTT,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRAVIS,SEYMOUR JOHNSON,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TYNDALL,SHAW,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VANCE,SHEPPARD,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VANDENBERG,SPANGDAHLEM,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WHITEMAN,TINKER,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WRIGHT PATTERSON,TRAVIS,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YOKOTA,TYNDALL,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VANCE,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VANDENBERG,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WHITEMAN,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WRIGHT PATTERSON,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YOKOTA,,,,,,,
